SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Average_Monthly_Charge,Charge_Difference,Is_Streaming_User,Security_and_Support_Risk,Is_Family,Is_AutoPay,Risk_Segment,short_contract_low_tenure,contract_length,Tenure_Cohorts,total_services,charge_per_service,has_internet,senior_high_charge,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,35,49.2,1701.65,48.61857142857143,0.5814285714285745,1,1,0,0,1,0,0,1-3 Years,3,12.3,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
0,15,75.1,1151.55,76.77,-1.6700000000000017,0,0,1,0,0,0,0,1-3 Years,2,25.03333333333333,1,0,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,13,40.55,590.35,45.41153846153846,-4.861538461538466,0,0,1,0,0,0,2,1-3 Years,3,10.1375,1,0,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,26,73.5,1905.7,73.29615384615384,0.20384615384615756,1,1,1,1,0,0,2,1-3 Years,5,12.25,1,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False
0,1,44.55,44.55,44.55,0.0,0,1,1,0,1,1,0,0-1 Year,1,22.275,1,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,66,79.5,5196.1,78.72878787878788,0.7712121212121161,1,0,1,1,0,0,2,5+ Years,6,11.357142857142858,1,0,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,1,19.8,19.8,19.8,0.0,0,0,0,1,0,1,0,0-1 Year,1,9.9,0,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,40,56.6,2379.1,59.4775,-2.8774999999999977,0,1,1,1,0,0,0,3-5 Years,3,14.15,1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,65,59.8,3808.2,58.58769230769231,1.2123076923076894,1,0,1,1,0,0,2,5+ Years,3,14.95,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False
0,60,80.55,4847.05,80.78416666666666,-0.23416666666666686,1,0,0,1,0,0,1,3-5 Years,6,11.507142857142856,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
